rfm_segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_revenue
At Risk,22357,393.9427025092812,1.048172831775283,166.90361094959073,3731464.03
Needs Attention,17934,180.1807181889149,1.0,135.89302330768373,2437105.48
Loyal Customers,15969,150.72108460141524,1.0547936627215229,115.58406976016032,1845762.01
Hibernating,14986,395.5081409315361,1.0,162.93604564259977,2441759.58
Potential Loyalists,11937,90.94554745748513,1.0,196.93604171902487,2350825.53
Champions,6455,90.55476374903176,1.1809450038729667,312.13370875290474,2014823.09
New Customers,3720,45.9494623655914,1.0,160.7618360215054,598034.03
